_H:	|Run	|Epoch	$TestNm	|Trial	$TrialName	#SSEB	#AvgSSEB	#SSEC	#AvgSSEC	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#TrgOnWasOffB	#TrgOffWasOnB	#TrgOnWasOffC	#TrgOffWasOnC	#ECin ActM.Avg	#DG ActM.Avg	#CA3 ActM.Avg	#CA1 ActM.Avg
_D:	0	4	Close	0	ab_0	2.471	0.05044	4.764	0.09722	0.3728	0	1	0.01224	0.25	0.02381	0.4444	0.04878	0.03917	0	0	0
_D:	0	4	Close	1	ac_0	4.011	0.08185	1.765	0.03602	0.4108	0	0.9459	0.0122	0.5	0.07143	0.2222	0	0.03825	0	0	0
_D:	0	4	Close	2	ab_1	6.062	0.1237	4.008	0.08179	0.2887	0	1	0.02033	0.5556	0.07317	0.5	0.04762	0.03702	0	0	0
_D:	0	4	Close	3	ac_1	10.41	0.2125	2.886	0.0589	0.1833	0	0.9756	0.03239	0.8889	0.1463	0.25	0.04762	0.03717	0	0	0
_D:	0	4	Close	4	ab_2	2.49	0.05082	8.094	0.1652	0.2653	0	0.975	0.02439	0.25	0.02381	0.7778	0.122	0.03809	0	0	0
_D:	0	4	Close	5	ac_2	8.081	0.1649	3.298	0.06731	0.2425	0	1	0.02459	0.75	0.119	0.4444	0.02439	0.03702	0	0	0
_D:	0	4	Close	6	ab_3	3.263	0.06659	6.271	0.128	0.3001	0	0.9756	0.01633	0.4444	0.02439	0.625	0.07143	0.03593	0	0	0
_D:	0	4	Close	7	ac_3	7.653	0.1562	3.959	0.0808	0.2407	0	1	0.02857	0.6667	0.122	0.5	0.04762	0.03789	0	0	0
_D:	0	4	Close	8	ab_4	2.652	0.05412	6.996	0.1428	0.3323	0	0.9524	0.01639	0.3	0	0.6667	0.09756	0.03551	0	0	0
_D:	0	4	Close	9	ac_4	8.143	0.1662	3.384	0.06905	0.2886	0	0.9545	0.01646	0.7	0.075	0.3333	0.02439	0.03603	0	0	0
_D:	0	4	Close	10	ab_5	4.035	0.08234	11.14	0.2274	0.2007	0	1	0.02459	0.4444	0.02439	0.9	0.125	0.03539	0	0	0
_D:	0	4	Close	11	ac_5	7.18	0.1465	2.584	0.05274	0.3399	0	1	0.01639	0.6667	0.09756	0.3	0	0.03664	0	0	0
_D:	0	4	Close	12	ab_6	3.11	0.06347	8.972	0.1831	0.2565	0	0.9744	0.02439	0.3	0.025	0.8889	0.122	0.03791	0	0	0
_D:	0	4	Close	13	ac_6	8.478	0.173	6.684	0.1364	0.1658	0	0.9762	0.03279	0.7	0.1	0.6667	0.09756	0.0382	0	0	0
_D:	0	4	Close	14	ab_7	1.533	0.03128	7.631	0.1557	0.3462	0	1	0.01639	0.2	0	0.6667	0.09756	0.03915	0	0	0
_D:	0	4	Close	15	ac_7	3.549	0.07243	1.771	0.03613	0.4742	0	1	0	0.4	0	0.2222	0	0.03664	0	0	0
_D:	0	4	Close	16	ab_8	2.979	0.06079	4.629	0.09446	0.3547	0	0.9744	0.0122	0.3333	0.02439	0.5	0.04762	0.03349	0	0	0
_D:	0	4	Close	17	ac_8	6.765	0.1381	4.443	0.09067	0.2494	0	0.9756	0.02024	0.6667	0.07317	0.5	0.04762	0.03215	0	0	0
_D:	0	4	Close	18	ab_9	5.297	0.1081	2.588	0.05282	0.3608	0	0.9737	0.008097	0.5556	0.04878	0.375	0	0.0324	0	0	0
_D:	0	4	Close	19	ac_9	8.467	0.1728	2.025	0.04132	0.2634	0	1	0.01633	0.7778	0.09756	0.375	0	0.03369	0	0	0
_D:	0	4	Close	20	ab_10	2.375	0.04847	2.883	0.05883	0.4577	0	0.9459	0.004065	0.3333	0	0.4444	0.02439	0.03372	0	0	0
_D:	0	4	Close	21	ac_10	6.961	0.1421	3.986	0.08134	0.2834	0	0.9756	0.01626	0.6667	0.07317	0.4444	0.02439	0.0333	0	0	0
_D:	0	4	Close	22	ab_11	2.66	0.05428	6.063	0.1237	0.3301	0	1	0.01224	0.3333	0	0.625	0.07143	0.03393	0	0	0
_D:	0	4	Close	23	ac_11	5.796	0.1183	1.79	0.03652	0.3421	0	0.9744	0.008163	0.6	0.05	0.25	0	0.035	0	0	0
