_H:	|Run	|Epoch	$TestNm	|Trial	$TrialName	#SSEB	#AvgSSEB	#SSEC	#AvgSSEC	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#TrgOnWasOffB	#TrgOffWasOnB	#TrgOnWasOffC	#TrgOffWasOnC	#ECin ActM.Avg	#DG ActM.Avg	#CA3 ActM.Avg	#CA1 ActM.Avg
_D:	0	14	Close	0	ab_0	1.547	0.03157	7.646	0.156	0.8728	1	0.2353	0.03673	0	0.04762	0.4444	0.1707	0.1681	0.01669	0.1198	0.05057
_D:	0	14	Close	1	ac_0	1.549	0.0316	7.324	0.1495	0.8768	1	0.2353	0.03252	0	0.04762	0.4444	0.1463	0.164	0.01819	0.1207	0.05168
_D:	0	14	Close	2	ab_1	0.7717	0.01575	6.253	0.1276	0.9028	1	0.1765	0.02846	0	0.02439	0.375	0.1429	0.1634	0.0157	0.1257	0.04572
_D:	0	14	Close	3	ac_1	0.7793	0.0159	6.556	0.1338	0.8906	1	0.2353	0.02834	0.1111	0.02439	0.375	0.1429	0.1607	0.01991	0.1196	0.04845
_D:	0	14	Close	4	ab_2	2.304	0.04702	7.933	0.1619	0.8548	1	0.2941	0.04065	0	0.09524	0.5556	0.1463	0.1675	0.01569	0.1194	0.04573
_D:	0	14	Close	5	ac_2	2.11	0.04305	8.797	0.1795	0.8551	1	0.2941	0.04098	0	0.07143	0.5556	0.1707	0.1734	0.01367	0.1229	0.04557
_D:	0	14	Close	6	ab_3	2.34	0.04776	4.152	0.08473	0.9101	1	0.1765	0.02857	0.1111	0.07317	0.25	0.09524	0.1702	0.01187	0.1135	0.05017
_D:	0	14	Close	7	ac_3	2.495	0.05092	3.176	0.06482	0.9181	1	0.05882	0.02857	0	0.09756	0.125	0.07143	0.1715	0.01227	0.1131	0.05098
_D:	0	14	Close	8	ab_4	0	0	1.983	0.04048	0.9706	1	0	0.0123	0	0	0	0.07317	0.1669	0.01601	0.127	0.04916
_D:	0	14	Close	9	ac_4	0	0	1.981	0.04044	0.9711	1	0	0.01235	0	0	0	0.07317	0.1702	0.01582	0.1268	0.04942
_D:	0	14	Close	10	ab_5	8.895	0.1815	9.762	0.1992	0.745	0	0.5789	0.06148	0.5556	0.1951	0.6	0.175	0.1684	0.01334	0.1206	0.04145
_D:	0	14	Close	11	ac_5	4.777	0.09749	3.845	0.07847	0.8736	1	0.2632	0.02459	0.3333	0.07317	0.2	0.075	0.1637	0.01249	0.1118	0.04719
_D:	0	14	Close	12	ab_6	0.4469	0.00912	2.148	0.04384	0.9618	1	0	0.01626	0	0.025	0	0.07317	0.1633	0.02199	0.129	0.04958
_D:	0	14	Close	13	ac_6	2.072	0.04229	2.148	0.04385	0.9365	1	0	0.02869	0	0.1	0	0.07317	0.1735	0.01689	0.1132	0.04814
_D:	0	14	Close	14	ab_7	13.55	0.2765	1.864	0.03804	0.7852	0	0.4211	0.05738	0.8	0.275	0	0.07317	0.1709	0.01026	0.1049	0.04743
_D:	0	14	Close	15	ac_7	11.91	0.243	1.778	0.03629	0.8106	0	0.3684	0.04918	0.7	0.225	0	0.07317	0.1704	0.01401	0.1168	0.04863
_D:	0	14	Close	16	ab_8	8.471	0.1729	12.96	0.2645	0.7015	0	0.7059	0.06504	0.5556	0.1463	0.875	0.2381	0.1667	0.01206	0.1064	0.04355
_D:	0	14	Close	17	ac_8	14.45	0.2948	1.211	0.0247	0.7754	0	0.4706	0.05668	0.8889	0.2683	0	0.07143	0.1651	0.0176	0.1189	0.0493
_D:	0	14	Close	18	ab_9	1.856	0.03788	1.549	0.03161	0.9506	1	0	0.02024	0	0.07317	0	0.04762	0.1641	0.01792	0.1219	0.05116
_D:	0	14	Close	19	ac_9	1.839	0.03753	1.521	0.03103	0.9511	1	0	0.02041	0	0.07317	0	0.04762	0.1711	0.01703	0.1234	0.05281
_D:	0	14	Close	20	ab_10	1.334	0.02722	10.46	0.2135	0.8353	1	0.3333	0.04065	0	0.04878	0.6667	0.1951	0.162	0.02328	0.1264	0.04829
_D:	0	14	Close	21	ac_10	1.352	0.02759	6.21	0.1267	0.8943	1	0.1667	0.02846	0	0.04878	0.3333	0.122	0.1636	0.02258	0.1232	0.05054
_D:	0	14	Close	22	ab_11	1.707	0.03484	13.3	0.2713	0.7981	0	0.4118	0.05306	0	0.07317	0.875	0.2381	0.1715	0.009771	0.1187	0.04687
_D:	0	14	Close	23	ac_11	1.713	0.03496	13.35	0.2725	0.7974	0	0.4118	0.05306	0	0.075	0.875	0.2381	0.1716	0.009081	0.1216	0.04814
