_H:	|Run	|Epoch	$TestNm	|Trial	$TrialName	#SSEB	#AvgSSEB	#SSEC	#AvgSSEC	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#TrgOnWasOffB	#TrgOffWasOnB	#TrgOnWasOffC	#TrgOffWasOnC	#ECin ActM.Avg	#DG ActM.Avg	#CA3 ActM.Avg	#CA1 ActM.Avg
_D:	0	14	Close	0	ab_0	1.221	0.02493	8.073	0.1648	0.9848	1	0.2	0.03265	0	0.04762	0.5556	0.1463	0.1594	0.01836	0.1187	0.05717
_D:	0	14	Close	1	ac_0	1.221	0.02492	8.072	0.1647	0.9846	1	0.2	0.03252	0	0.04762	0.5556	0.1463	0.1563	0.01876	0.1218	0.05723
_D:	0	14	Close	2	ab_1	1.608	0.03281	8.372	0.1709	0.9988	0	0.5	0.02846	0.2222	0.04878	0.625	0.119	0.1562	0.01587	0.1279	0.05771
_D:	0	14	Close	3	ac_1	1.608	0.03281	8.372	0.1709	0.9988	0	0.5	0.02834	0.2222	0.04878	0.625	0.119	0.1531	0.01972	0.1207	0.05841
_D:	0	14	Close	4	ab_2	4.038	0.08241	8.85	0.1806	0.9892	0	0.5	0.04472	0.25	0.09524	0.5556	0.1707	0.1574	0.01672	0.1183	0.05792
_D:	0	14	Close	5	ac_2	4.034	0.08233	8.85	0.1806	0.9895	0	0.5	0.04508	0.25	0.09524	0.5556	0.1707	0.1635	0.01343	0.1156	0.05731
_D:	0	14	Close	6	ab_3	0.4553	0.009292	6.907	0.141	0.99	0	0.375	0.02857	0	0.02439	0.5	0.1429	0.1598	0.01112	0.1128	0.0565
_D:	0	14	Close	7	ac_3	0.4553	0.009292	6.907	0.141	0.99	0	0.375	0.02857	0	0.02439	0.5	0.1429	0.1598	0.01241	0.1106	0.05672
_D:	0	14	Close	8	ab_4	3.718	0.07588	1.577	0.03217	0.9993	1	0.25	0.02049	0.2	0.075	0.1111	0.04878	0.159	0.01716	0.1252	0.05677
_D:	0	14	Close	9	ac_4	3.718	0.07588	1.577	0.03217	0.9993	1	0.25	0.02058	0.2	0.075	0.1111	0.04878	0.1621	0.01643	0.1224	0.05728
_D:	0	14	Close	10	ab_5	12.1	0.2469	3.678	0.07506	1	0	0.6429	0.04508	0.7778	0.2195	0.3	0.05	0.1563	0.01375	0.1207	0.05518
_D:	0	14	Close	11	ac_5	12.1	0.2469	3.678	0.07506	1	0	0.6429	0.04508	0.7778	0.2195	0.3	0.05	0.1563	0.01219	0.1089	0.05612
_D:	0	14	Close	12	ab_6	0.5708	0.01165	9.294	0.1897	0.9998	1	0.3077	0.03659	0	0.025	0.5556	0.1951	0.1556	0.02083	0.116	0.05608
_D:	0	14	Close	13	ac_6	0.5707	0.01165	9.294	0.1897	0.9998	1	0.3077	0.03689	0	0.025	0.5556	0.1951	0.1618	0.01519	0.1217	0.05563
_D:	0	14	Close	14	ab_7	13.27	0.2708	8.312	0.1696	0.986	0	0.8462	0.06148	0.9	0.225	0.5556	0.1707	0.1556	0.01123	0.1103	0.05717
_D:	0	14	Close	15	ac_7	13.27	0.2708	8.312	0.1696	0.986	0	0.8462	0.06148	0.9	0.225	0.5556	0.1707	0.1556	0.01441	0.1227	0.05663
_D:	0	14	Close	16	ab_8	11.67	0.2381	11.95	0.2439	0.9732	0	1	0.06504	0.7778	0.1951	0.875	0.1905	0.1551	0.01378	0.1138	0.05735
_D:	0	14	Close	17	ac_8	11.67	0.2382	11.95	0.2439	0.9727	0	1	0.06478	0.7778	0.1951	0.875	0.1905	0.1519	0.015	0.1217	0.05779
_D:	0	14	Close	18	ab_9	11.53	0.2352	9.233	0.1884	0.9892	0	0.8571	0.06478	0.7778	0.2195	0.625	0.1905	0.1532	0.01344	0.1128	0.05712
_D:	0	14	Close	19	ac_9	11.53	0.2354	9.196	0.1877	0.9891	0	0.8571	0.06531	0.7778	0.2195	0.625	0.1905	0.1594	0.009528	0.1144	0.05792
_D:	0	14	Close	20	ab_10	1.077	0.02198	12.96	0.2645	0.9952	0	0.6364	0.04065	0	0.04878	0.8889	0.1951	0.1534	0.02366	0.1292	0.05435
_D:	0	14	Close	21	ac_10	1.077	0.02198	12.96	0.2645	0.9952	0	0.6364	0.04065	0	0.04878	0.8889	0.1951	0.1534	0.02279	0.1291	0.05495
_D:	0	14	Close	22	ab_11	3.411	0.06961	9.51	0.1941	1	0	0.5385	0.0449	0.2222	0.07317	0.75	0.1905	0.1581	0.01007	0.1196	0.05562
_D:	0	14	Close	23	ac_11	3.411	0.06961	9.51	0.1941	1	0	0.5385	0.0449	0.2	0.075	0.75	0.1905	0.1581	0.01079	0.1154	0.05614
