_H:	|Run	|Epoch	$TestNm	|Trial	$TrialName	#SSE	#AvgSSE	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#TrgOnWasOffB	#TrgOffWasOnB	#TrgOnWasOffC	#TrgOffWasOnC	#ECin ActM.Avg	#DG ActM.Avg	#CA3 ActM.Avg	#CA1 ActM.Avg
_D:	0	14	Close	0	ab_0	11.49	0.03908	0.8428	1	0.2941	0.0449	0	0.07143	0.5556	0.1951	0.1739	0.01729	0.1202	0.05535
_D:	0	14	Close	1	ac_0	11.55	0.0393	0.8412	1	0.2941	0.04472	0	0.07143	0.5556	0.1951	0.1693	0.02085	0.1253	0.05547
_D:	0	14	Close	2	ab_1	6.126	0.02084	0.9146	1	0.1176	0.02846	0	0.02439	0.25	0.1429	0.1668	0.01872	0.1147	0.04866
_D:	0	14	Close	3	ac_1	6.174	0.021	0.9118	1	0.1176	0.02834	0	0.02439	0.25	0.1429	0.164	0.01975	0.1188	0.0481
_D:	0	14	Close	4	ab_2	12.71	0.04325	0.8253	0	0.3529	0.04065	0	0.07143	0.6667	0.1707	0.1653	0.0191	0.1244	0.04971
_D:	0	14	Close	5	ac_2	25.19	0.08568	0.6641	0	0.8235	0.06967	1	0.2619	0.6667	0.1463	0.1711	0.01265	0.1136	0.04113
_D:	0	14	Close	6	ab_3	10.76	0.03661	0.8519	1	0.2941	0.0449	0.1111	0.07317	0.5	0.1905	0.1732	0.01102	0.1199	0.04704
_D:	0	14	Close	7	ac_3	11.53	0.03923	0.843	1	0.2941	0.0449	0.1111	0.07317	0.5	0.1905	0.1729	0.01206	0.1144	0.04694
_D:	0	14	Close	8	ab_4	10.73	0.03651	0.8522	1	0.2632	0.03689	0	0.05	0.5556	0.1707	0.1694	0.01425	0.128	0.04617
_D:	0	14	Close	9	ac_4	12.58	0.04279	0.8284	0	0.3684	0.04115	0.1	0.05	0.6667	0.1951	0.1708	0.01407	0.1165	0.04576
_D:	0	14	Close	10	ab_5	21.88	0.07442	0.702	0	0.6316	0.06967	0.7778	0.2683	0.5	0.15	0.169	0.01295	0.1106	0.04703
_D:	0	14	Close	11	ac_5	21.83	0.07425	0.7033	0	0.6316	0.06967	0.7778	0.2683	0.5	0.15	0.1689	0.012	0.1088	0.04631
_D:	0	14	Close	12	ab_6	12.84	0.04367	0.8221	1	0.3333	0.04878	0	0.025	0.6667	0.2683	0.1667	0.01787	0.1213	0.04898
_D:	0	14	Close	13	ac_6	19.43	0.06607	0.7376	0	0.6111	0.05738	0.6	0.2	0.6667	0.1463	0.1698	0.01353	0.1049	0.04478
_D:	0	14	Close	14	ab_7	5.814	0.01977	0.9146	1	0.1053	0.02869	0.1	0.075	0.1111	0.09756	0.1705	0.01079	0.1108	0.0415
_D:	0	14	Close	15	ac_7	20.72	0.07049	0.7208	0	0.5789	0.06967	1	0.325	0.1111	0.09756	0.1721	0.01114	0.1121	0.04859
_D:	0	14	Close	16	ab_8	11.09	0.03773	0.8426	1	0.2353	0.04878	0	0.09756	0.5	0.1905	0.1729	0.01106	0.1063	0.04691
_D:	0	14	Close	17	ac_8	11.28	0.03837	0.8406	1	0.2353	0.05263	0	0.09756	0.5	0.2143	0.1696	0.01648	0.1135	0.05216
_D:	0	14	Close	18	ab_9	18.92	0.06434	0.7375	0	0.5294	0.06883	0.4444	0.1707	0.625	0.2381	0.1686	0.01375	0.1248	0.0468
_D:	0	14	Close	19	ac_9	14.16	0.04817	0.8089	0	0.3529	0.05714	0.1111	0.09756	0.625	0.2381	0.1752	0.01258	0.121	0.04903
_D:	0	14	Close	20	ab_10	14.59	0.04963	0.7929	0	0.3889	0.05285	0	0.07317	0.7778	0.2439	0.169	0.01722	0.1123	0.05193
_D:	0	14	Close	21	ac_10	14.87	0.05059	0.7924	0	0.3889	0.05691	0	0.07317	0.7778	0.2683	0.1692	0.01617	0.1124	0.04992
_D:	0	14	Close	22	ab_11	15.24	0.05184	0.7954	0	0.4118	0.05714	0	0.07317	0.875	0.2619	0.1735	0.009673	0.1168	0.04195
_D:	0	14	Close	23	ac_11	15.3	0.05205	0.794	0	0.4118	0.06122	0	0.075	0.875	0.2857	0.1746	0.009585	0.1156	0.04125
