_H:	|Run	|Epoch	$TestNm	|Trial	$TrialName	#SSE	#AvgSSE	#CosDiff	#Mem	#TrgOnWasOff	#TrgOffWasOn	#TrgOnWasOffB	#TrgOffWasOnB	#TrgOnWasOffC	#TrgOffWasOnC	#ECin ActM.Avg	#DG ActM.Avg	#CA3 ActM.Avg	#CA1 ActM.Avg
_D:	0	49	Close	0	ab_0	29.42	0.07506	0.8335	1	0.2353	0.07187	0.5	0.381	0	0.02439	0.1838	0.009211	0.0923	0.04209
_D:	0	49	Close	1	ac_0	28.34	0.07231	0.8585	1	0.2353	0.07165	0.5	0.381	0	0.02439	0.1846	0.008256	0.08947	0.04129
_D:	0	49	Close	2	ab_1	54.72	0.1396	0.7554	0	0.4118	0.1308	0.4444	0.3659	0.375	0.3095	0.1889	0.009285	0.1003	0.04695
_D:	0	49	Close	3	ac_1	52.73	0.1345	0.7876	0	0.5294	0.1211	0.5556	0.3171	0.5	0.3333	0.1886	0.008527	0.09464	0.04748
_D:	0	49	Close	4	ab_2	40.77	0.104	0.9043	0	0.4118	0.1028	0.75	0.4048	0.1111	0.2195	0.1908	0.005137	0.08619	0.04512
_D:	0	49	Close	5	ac_2	29.37	0.07493	0.9304	0	0.3529	0.08464	0.625	0.4048	0.1111	0.2195	0.1893	0.004702	0.08423	0.04124
_D:	0	49	Close	6	ab_3	29.1	0.07423	0.9071	0	0.5882	0.06875	0.6667	0.3902	0.5	0.1429	0.1824	0.009638	0.09062	0.04013
_D:	0	49	Close	7	ac_3	40.21	0.1026	0.8596	0	0.4706	0.1	0.6667	0.3902	0.25	0.2619	0.1883	0.005069	0.08642	0.04179
_D:	0	49	Close	8	ab_4	45.28	0.1155	0.8587	0	0.5263	0.1066	0.4	0.325	0.6667	0.3415	0.1904	0.005678	0.08389	0.04302
_D:	0	49	Close	9	ac_4	49.53	0.1263	0.8121	0	0.5263	0.1164	0.4	0.325	0.6667	0.3659	0.1898	0.007304	0.08572	0.0423
_D:	0	49	Close	10	ab_5	46.66	0.119	0.8325	0	0.7895	0.1003	0.7778	0.439	0.8	0.225	0.1814	0.01295	0.09966	0.04383
_D:	0	49	Close	11	ac_5	47.84	0.122	0.7732	0	0.6316	0.1129	0.7778	0.439	0.5	0.275	0.1772	0.01338	0.09335	0.04368
_D:	0	49	Close	12	ab_6	55.18	0.1408	0.8234	0	0.7778	0.109	0.9	0.225	0.6667	0.3415	0.184	0.01615	0.105	0.046
_D:	0	49	Close	13	ac_6	50.18	0.128	0.7716	0	0.7222	0.09718	0.6	0.325	0.8889	0.1951	0.1835	0.01415	0.1049	0.04324
_D:	0	49	Close	14	ab_7	40.95	0.1045	0.9292	0	0.6842	0.1034	0.8	0.45	0.5556	0.3415	0.1875	0.009041	0.09023	0.0459
_D:	0	49	Close	15	ac_7	45.45	0.1159	0.9117	0	0.7895	0.1003	1	0.225	0.5556	0.3415	0.182	0.01484	0.1019	0.04463
_D:	0	49	Close	16	ab_8	21.51	0.05488	0.9239	1	0.1176	0.07165	0	0.2195	0.25	0.2857	0.1883	0.006661	0.08801	0.04599
_D:	0	49	Close	17	ac_8	31.31	0.07988	0.8675	1	0.1176	0.09006	0	0.2683	0.25	0.2857	0.1896	0.008266	0.09272	0.04404
_D:	0	49	Close	18	ab_9	40.55	0.1034	0.8985	1	0.2941	0.1056	0.1111	0.2927	0.5	0.3333	0.1891	0.005696	0.08442	0.04392
_D:	0	49	Close	19	ac_9	42.33	0.108	0.819	1	0.2941	0.1031	0.1111	0.2927	0.5	0.3095	0.1885	0.006092	0.08765	0.04548
_D:	0	49	Close	20	ab_10	49.79	0.127	0.8482	0	0.6667	0.1184	0.4444	0.3659	0.8889	0.3902	0.1896	0.007646	0.08943	0.04576
_D:	0	49	Close	21	ac_10	41.41	0.1056	0.9273	0	0.7778	0.109	0.6667	0.3659	0.8889	0.4146	0.186	0.01046	0.09168	0.04689
_D:	0	49	Close	22	ab_11	26.13	0.06667	0.937	0	0.3529	0.07187	0	0.1951	0.75	0.3571	0.1896	0.005432	0.08565	0.04489
_D:	0	49	Close	23	ac_11	28.07	0.07161	0.9239	0	0.3529	0.08125	0	0.25	0.75	0.381	0.189	0.00465	0.08817	0.04069
